Site,PSC_total,SR_total,PD_total,SRp_total,PSC.rare,SR.rare,PSC.abund,SR.abund,PD.rare,SRp.rare,PD.abund,SRp.abund
S01,-2.26225206677428,6.34263702216606,2.19468972814839,6.34263702216606,-1.88313347352952,2.03347959043564,-3.62983054674445,4.14742670185359,1.31276247663353,2.03347959043564,-1.82290154746739,4.14742670185359
S02,-3.57081060595536,31.7663775928747,20.2068176102234,31.7663775928747,-2.82414040625991,7.20512307186586,-0.944630534476397,23.7405123797507,6.77581518221551,7.20512307186586,7.16690318406748,23.7405123797507
S03,-10.37338219308,-16.117901125929,-20.4470682876235,-16.117901125929,-4.19569817423661,-3.20032421038998,-2.41048274916967,-14.8817898971483,-7.53505311773604,-3.20032421038998,-6.72155421949198,-14.8817898971483
S04,-1.65785203639036,0.792672543120577,-0.377234257027271,0.792672543120577,-0.0998219853811563,-0.688390211493457,-3.08222330392192,-0.217319990051206,-0.447332073268592,-0.688390211493457,-2.68039722194981,-0.217319990051206
S05,-16.4914546673374,-6.4977935871849,-18.2570720690559,-6.4977935871849,-6.98947531761926,0.476654608828615,-5.75574473449901,-6.7418677137714,-6.20649944910983,0.476654608828615,-7.80760157507149,-6.7418677137714
S06,-1.43732756698958,30.6385345175908,23.9551031048355,30.6385345175908,-1.94235483942732,3.14503910255429,4.41302566001188,22.5981453218415,2.5553197936925,3.14503910255429,17.7472511614837,22.5981453218415
S07,-1.30363567961822,22.2327328901051,18.7135646731855,22.2327328901051,-1.69229442206483,4.63433280036468,1.77770839674171,17.8874829319762,4.5947211805943,4.63433280036468,10.0148095600204,17.8874829319762
S08,-14.3201492598359,-10.7110186983348,-21.1699347445327,-10.7110186983348,-6.1460718718699,-1.70350622550997,-4.94767684809614,-8.91457151199883,-7.68458279969803,-1.70350622550997,-6.24030211569189,-8.91457151199883
S09,4.3476505719954,-35.029507021519,-25.5431649479119,-35.029507021519,1.51947130647057,-9.71778796625428,1.61559658247237,-26.9976945987884,-12.3851020531465,-9.71778796625428,-6.86078917052039,-26.9976945987884
S10,6.2027454833047,-28.6717214265656,-16.7060054391017,-28.6717214265656,0.478702474658506,-6.27825185151785,4.66453178628663,-18.3501672364077,-8.11304267850335,-6.27825185151785,-3.33743490568567,-18.3501672364077
