Site,PSC_total,SR_total,PD_total,SRp_total,PSC.rare,SR.rare,PSC.abund,SR.abund,PD.rare,SRp.rare,PD.abund,SRp.abund
S01,0.109683437414616,323,86.309855932,323,0.30487550673671,57,0.100020441534724,91,42.596530607,57,18.1612004,91
S02,0.0949032872254458,228,60.622123241,228,0.286887599787558,53,0.109276947709098,65,40.846431651,53,14.516520505,65
S03,0.084968855815807,199,47.289254492,199,0.265537929180659,47,0.124637949405167,58,30.370422567,47,14.774249143,58
S04,0.115823470163025,272,83.008601242,272,0.306958446247931,61,0.0922500285825867,73,51.513279208,61,16.287377996,73
S06,0.11553621992905,385,131.435135967,385,0.297634453937469,87,0.129580096146047,103,75.35218964,87,28.794601429,103
S07,0.127096923211049,334,114.983934322,334,0.375514239077715,58,0.118241464928792,92,60.352770423,58,18.86524302,92
