S01	S02	S03	S04	S06	S07
ASV_170	0	200	0	0	0	0
ASV_171	0	0	68	0	130	0
ASV_172	43	0	152	0	0	0
ASV_173	0	0	143	0	52	0
ASV_174	56	47	8	0	61	22
ASV_175	20	12	22	0	91	48
ASV_176	20	0	0	31	79	58
ASV_177	0	0	0	0	188	0
ASV_178	80	0	106	0	0	0
ASV_179	45	0	0	51	0	86
ASV_180	92	3	0	68	17	0
ASV_181	178	0	0	0	0	0
ASV_182	0	0	177	0	0	0
ASV_183	0	60	0	111	0	0
ASV_184	0	0	31	0	78	61
ASV_185	53	34	0	0	40	34
ASV_186	46	12	22	20	61	0
ASV_187	0	138	0	22	0	0
ASV_188	0	88	0	0	0	71
ASV_189	0	0	159	0	0	0
ASV_190	0	0	158	0	0	0
ASV_191	18	0	0	9	111	17
ASV_192	0	0	154	0	0	0
ASV_193	0	153	0	0	0	0
ASV_194	0	152	0	0	0	0
ASV_195	0	42	0	0	0	106
ASV_196	2	54	19	5	37	28
ASV_197	0	30	18	0	39	57
ASV_198	0	0	78	27	0	38
ASV_199	0	0	40	29	44	28
ASV_200	0	0	0	0	0	140
ASV_201	30	0	0	9	15	85
ASV_202	15	97	0	7	0	19
ASV_203	13	0	6	3	65	51
ASV_204	0	21	4	59	34	20
ASV_205	0	0	0	51	45	40
ASV_206	41	0	24	0	31	36
ASV_207	0	49	0	47	0	33
ASV_208	62	0	0	0	64	0
ASV_209	39	0	0	42	8	35
ASV_210	0	0	0	120	0	0
ASV_211	0	0	119	0	0	0
ASV_212	117	0	0	0	0	0
ASV_213	0	0	77	0	0	38
ASV_214	0	0	66	21	16	12
ASV_215	76	0	0	22	0	14
ASV_216	112	0	0	0	0	0
ASV_217	47	0	0	0	64	0
ASV_218	0	111	0	0	0	0
ASV_219	9	0	0	30	40	24
ASV_220	0	102	0	0	0	0
ASV_221	88	0	0	11	0	0
ASV_222	12	0	0	13	37	37
ASV_223	0	0	0	0	70	29
ASV_224	0	0	98	0	0	0
ASV_225	0	0	59	0	38	0
ASV_226	0	0	0	0	97	0
ASV_227	0	0	0	0	97	0
ASV_228	68	0	0	28	0	0
ASV_229	3	0	0	4	73	16
ASV_230	0	37	58	0	0	0
ASV_231	0	0	80	0	14	0
ASV_232	0	0	0	46	48	0
ASV_233	0	93	0	0	0	0
ASV_234	0	92	0	0	0	0
ASV_235	0	0	0	92	0	0
ASV_236	53	0	0	9	29	0
ASV_237	26	0	0	28	20	17
ASV_238	0	0	0	6	64	21
ASV_239	0	90	0	0	0	0
ASV_240	31	0	56	0	0	0
ASV_241	45	0	7	35	0	0
ASV_242	32	55	0	0	0	0
ASV_243	0	0	87	0	0	0
ASV_244	65	0	0	0	0	21
ASV_245	0	15	71	0	0	0
ASV_246	85	0	0	0	0	0
ASV_247	85	0	0	0	0	0
ASV_248	0	47	0	0	36	0
ASV_249	0	0	61	6	0	16
ASV_250	0	0	0	0	60	22
ASV_251	0	0	80	0	0	0
ASV_252	0	0	0	78	0	0
ASV_253	77	0	0	0	0	0
ASV_254	75	0	0	0	0	0
ASV_255	25	0	0	50	0	0
ASV_256	4	13	0	0	21	37
ASV_257	0	44	0	0	0	30
ASV_258	0	0	0	0	60	14
ASV_259	9	0	0	64	0	0
ASV_260	43	30	0	0	0	0
ASV_261	0	11	0	16	21	25
ASV_262	0	0	0	0	73	0
ASV_263	0	0	0	0	0	73
ASV_264	0	72	0	0	0	0
ASV_265	71	0	0	0	0	0
ASV_266	22	0	0	35	0	14
ASV_267	71	0	0	0	0	0
ASV_268	0	71	0	0	0	0
ASV_269	0	71	0	0	0	0
ASV_270	0	69	0	0	0	0
ASV_271	0	0	69	0	0	0
ASV_272	68	0	0	0	0	0
ASV_273	21	0	0	33	0	14
ASV_274	0	47	0	15	0	5
ASV_275	0	47	0	0	20	0
ASV_276	0	66	0	0	0	0
ASV_277	0	0	0	0	52	14
ASV_278	53	0	0	0	12	0
ASV_279	65	0	0	0	0	0
ASV_280	0	65	0	0	0	0
ASV_281	0	65	0	0	0	0
ASV_282	0	0	0	0	34	31
ASV_283	0	0	0	0	40	23
ASV_284	58	0	2	2	0	0
ASV_285	0	0	0	0	0	62
ASV_286	0	0	61	0	0	0
ASV_287	0	0	0	23	38	0
ASV_288	0	0	0	0	37	24
ASV_289	0	0	0	0	60	0
ASV_290	0	30	0	28	0	0
ASV_291	0	0	0	0	31	27
ASV_292	0	0	57	0	0	0
ASV_293	26	0	0	3	27	0
ASV_294	0	4	0	0	31	21
ASV_295	0	0	26	21	0	9
ASV_296	38	0	0	0	2	15
ASV_297	21	0	0	0	0	34
ASV_298	6	0	0	26	22	0
ASV_299	0	0	54	0	0	0
ASV_300	53	0	0	0	0	0
ASV_301	0	28	0	0	25	0
ASV_302	40	0	0	0	12	0
ASV_303	16	0	0	0	36	0
ASV_304	0	0	0	25	27	0
ASV_305	5	0	0	0	21	25
ASV_306	0	0	0	0	46	5
ASV_307	0	0	0	0	51	0
ASV_308	16	0	0	0	23	11
ASV_309	49	0	0	0	0	0
ASV_310	0	49	0	0	0	0
ASV_311	0	16	0	0	6	27
ASV_312	0	0	0	0	40	9
ASV_313	0	48	0	0	0	0
ASV_314	0	0	48	0	0	0
ASV_315	0	0	0	48	0	0
ASV_316	0	0	0	0	23	25
ASV_317	5	0	0	5	13	24
ASV_318	38	8	0	0	0	0
ASV_319	0	0	0	46	0	0
ASV_320	45	0	0	0	0	0
ASV_321	15	0	0	0	11	19
ASV_322	45	0	0	0	0	0
ASV_323	0	0	45	0	0	0
ASV_324	29	0	0	15	0	0
ASV_325	0	44	0	0	0	0
ASV_326	0	44	0	0	0	0
ASV_327	0	44	0	0	0	0
ASV_328	0	0	21	23	0	0
ASV_329	0	0	0	11	33	0
ASV_330	0	0	0	0	44	0
ASV_331	0	0	0	0	44	0
ASV_332	0	0	0	0	0	44
ASV_333	9	0	0	0	10	24
