Feature ID	Taxon	Confidence
69e37c340940b3bccff9e379ec86af68	D_0__Bacteria;D_1__Spirochaetes;D_2__Spirochaetia;D_3__Spirochaetales;D_4__Spirochaetaceae;D_5__Spirochaeta 2	0.9657889318084293
b55745d35d64915bb44e1b19a8385154	D_0__Bacteria;D_1__Halanaerobiaeota;D_2__Halanaerobiia;D_3__Halanaerobiales;D_4__Halanaerobiaceae;D_5__Halanaerobium;D_6__uncultured Firmicutes bacterium	0.9770837181177214
c3966a287ef02d164c7ebce4f6f2af64	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	0.9998692347125478
b0ca1870816e850149638c3df4feaf4c	D_0__Bacteria;D_1__Bacteroidetes;D_2__Rhodothermia;D_3__Rhodothermales;D_4__Rhodothermaceae;D_5__uncultured	0.797716819354108
d51b0a8fdf69a5c385c7b430b6cd6c25	D_0__Bacteria;D_1__Gemmatimonadetes;D_2__S0134 terrestrial group	0.9949791921465679
a9eb26334399ae15eaba0ff8cb82d26b	D_0__Bacteria;D_1__Bacteroidetes;D_2__Ignavibacteria;D_3__OPB56;D_4__uncultured organism;D_5__uncultured organism;D_6__uncultured organism	0.8262412823370405
1c832d3ad52014554c5d802cd396312a	D_0__Bacteria;D_1__Spirochaetes;D_2__Spirochaetia;D_3__Spirochaetales;D_4__Spirochaetaceae	0.9998483725008349
91db77c0c746f80b06ffa693a3f9e532	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae	0.9013793319313503
197f7bd5e6f8e7167e3cef149aa71ad1	D_0__Bacteria;D_1__Spirochaetes;D_2__Spirochaetia;D_3__Spirochaetales;D_4__Spirochaetaceae;D_5__Spirochaeta 2	0.9603057728661828
fd710456c17a4e86cbe0fc06294cfe6d	D_0__Bacteria;D_1__Gemmatimonadetes;D_2__S0134 terrestrial group;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium	0.7897429964919915
9a34331f682202b1cb7d75adf4db7d64	D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia;D_3__Chloroflexales;D_4__Chloroflexaceae;D_5__Candidatus Chlorothrix	0.9997736963483721
fabf7534999d72e5646690e76542448b	D_0__Bacteria;D_1__Spirochaetes;D_2__Spirochaetia;D_3__Spirochaetales;D_4__Spirochaetaceae;D_5__Spirochaeta 2;D_6__uncultured organism	0.7990350335023915
d42d3125376a3262977ceb8dc1ccdb02	D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria	0.9975016935830076
f18a4803e287e4279370f8bf7106d1d7	D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae;D_3__Phycisphaerales;D_4__Phycisphaeraceae	0.9998859730190602
074e3a329ee37a0dffeb7f1880a36b14	D_0__Bacteria;D_1__Spirochaetes;D_2__Spirochaetia;D_3__Spirochaetales;D_4__Spirochaetaceae;D_5__Alkalispirochaeta;D_6__uncultured bacterium	0.8867894201268175
9f15f4df7f6ab03cfb76e60d992e93a0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia	0.9999433983925571
7cdfb462f61729df1f5c5fc76c8e787d	D_0__Bacteria;D_1__Actinobacteria;D_2__Nitriliruptoria;D_3__Nitriliruptorales;D_4__Nitriliruptoraceae	0.9999264394647558
931aaba897ba73bcf6da23abc22cced1	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Rikenellaceae;D_5__Blvii28 wastewater-sludge group	0.9883962193956941
dd6c0b84f1306616033b3ccee9fdfc10	D_0__Bacteria;D_1__Patescibacteria;D_2__ABY1;D_3__Candidatus Falkowbacteria	0.9908697259129486
c8b1c82caa20acb261d1293e4cb5379c	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Sphingomonadales;D_4__Sphingomonadaceae	0.9978026964962325
4b01bb6d2c83a48a4f6ccbb50c0c4a31	D_0__Bacteria;D_1__Tenericutes;D_2__Mollicutes;D_3__Izimaplasmatales;D_4__Izimaplasmataceae	0.9610830274686767
97d3d262f61c888eaaf3584d17cc06f5	D_0__Bacteria;D_1__Bacteroidetes;D_2__Rhodothermia;D_3__Balneolales;D_4__Balneolaceae;D_5__Rhodohalobacter;D_6__uncultured bacterium	0.8468946202726287
27ed77233b9b41fac929d452069e1cfd	D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales	0.7626991728009385
ca2b55b9d25d9b42143e70657adaab2b	D_0__Bacteria	0.9999996463864345
057794733c0d455deaf940d97a02ad1e	D_0__Bacteria	0.9998886634278552
17d4c25ad3ea9c52ec7ce53beb86dcf5	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Phormidesmiales;D_4__Nodosilineaceae;D_5__uncultured;D_6__uncultured bacterium	0.9574248618149641
bd10440dc4c307ceabc7ad12257b1e83	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales	0.7244280856379668
ac55a7703461b7b23a7efc1d1c5bf509	D_0__Bacteria;D_1__Spirochaetes;D_2__Spirochaetia;D_3__Spirochaetales;D_4__Spirochaetaceae;D_5__Sediminispirochaeta	0.7859504842631443
5fb4180ebf7926a9dd6f66c8c9f66dec	D_0__Bacteria	0.9999991554874302
f4507ff45ad0b6e76608becc45218a76	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria	0.9866594828797169
b24789bf687b7067a2c4d1200b1f3554	D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Nostocales;D_4__Rubidibacteraceae;D_5__Dactylococcopsis PCC-8305	0.9997709477776603
58025b6e20f8b818c0a502eb07ffe839	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae	0.9139079363803408
2e464a1d668c8588b4f2d2689752c868	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Marinilabiliaceae	0.9918462165361304
d91d7f8cd8d3b53537c3aff74dd02f2d	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Marinilabiliaceae;D_5__[Cytophaga] xylanolytica group;D_6__unidentified	0.8353782432033616
2a03f3129867573a8bbdac7268792b5e	D_0__Bacteria;D_1__Spirochaetes;D_2__Spirochaetia;D_3__Spirochaetales;D_4__Spirochaetaceae;D_5__Spirochaeta 2	0.9989875106385404
d295fa54c691c7048c5410aa93e0808c	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales	0.7606842436716695
29d1a11c4563345f47002871ec21414e	D_0__Bacteria	0.9989891608453577
c21ffb7c358c93a1ab99c9f3c601e1ce	D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodobacterales;D_4__Rhodobacteraceae;D_5__uncultured;D_6__bacterium YC-ZSS-LKJ53	0.9082149844763935
cd00bfcad76eb68f9eda996a19498622	D_0__Bacteria;D_1__Patescibacteria;D_2__ABY1	0.7846006044865809
669c699c04ef14a7117ef61175483f8a	D_0__Bacteria;D_1__Spirochaetes;D_2__Spirochaetia;D_3__Spirochaetales;D_4__Spirochaetaceae;D_5__Spirochaeta 2	0.9987160074071846
8d8f42e949d5baaa0fc2fddf57703628	D_0__Bacteria;D_1__Bacteroidetes;D_2__Rhodothermia;D_3__Balneolales;D_4__Balneolaceae;D_5__ML310M-34;D_6__uncultured bacterium	0.9999938115998139
1ad10b66b7f60661b2f6b754a817440d	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales	0.8225461874035163
1ce162957b962ec062ce15f6dd58891b	D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__RBG-13-54-9;D_4__uncultured organism;D_5__uncultured organism;D_6__uncultured organism	0.9943877896580936
5079ca49926d7f1082cd4b710c0856b4	D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Oligoflexales;D_4__0319-6G20;D_5__uncultured sediment bacterium;D_6__uncultured sediment bacterium	0.8455193175258132
